"INSTNM","sector_desc.x","MEN5","WOMEN5","TOTAL5","RAPE5","RAPE6","Zip","RAPE7","RAPE8","MEN7","WOMEN7","TOTAL7","MEN9","WOMEN9","TOTAL9","RAPE9","sector_desc.y","sector_desc.x.x","MEN10","WOMEN10","TOTAL10","RAPE10","RAPE11","RAPE12","sector_desc.y.y","MEN13","WOMEN13","TOTAL13","RAPE13","RAPE14","RAPE15"
"Alabama A & M University","Public, 4-year or above",2505,3201,5706,4,1,35762,0,1,2413,2914,5327,"2218","2704","4922",7,"Public, 4-year or above","Public, 4-year or above","2224","2629","4853","5",4,2,"Public, 4-year or above",2409,3219,5628,2,0,2
"University of Alabama at Birmingham","Public, 4-year or above",6480,9766,16246,1,1,352940110,0,0,6814,10060,16874,"6979","10596","17575",2,"Public, 4-year or above","Public, 4-year or above","7163","10836","17999","1",2,2,"Public, 4-year or above",7185,11148,18333,2,7,2
"Amridge University","Private nonprofit, 4-year or above",344,376,720,0,0,361173553,0,0,360,397,757,"349","426","775",0,"Private nonprofit, 4-year or above","Private nonprofit, 4-year or above","321","382","703","0",0,0,"Private nonprofit, 4-year or above",257,370,627,0,0,0
"University of Alabama in Huntsville","Public, 4-year or above",3900,3364,7264,0,2,35899,6,1,4197,3484,7681,NA,NA,NA,NA,NA,"Public, 4-year or above","4207","3429","7636","0",4,3,"Public, 4-year or above",4464,3402,7866,2,0,2
"The University of Alabama","Public, 4-year or above",11824,13720,25544,6,3,354870180,2,3,13434,15265,28699,"14519","17128","31647",1,"Public, 4-year or above","Public, 4-year or above","15246","18257","33503","9",3,7,"Public, 4-year or above",16564,20534,37098,9,14,21
"Central Alabama Community College","Public, 2-year",721,1456,2177,0,0,350110699,0,0,821,1620,2441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central Alabama Community College","Public, 2-year",721,1456,2177,0,0,35044,0,0,821,1620,2441,"856","1595","2451",0,"Public, 2-year","Public, 2-year","668","1353","2021","0",0,0,"Public, 2-year",796,991,1787,0,0,0
"Athens State University","Public, 4-year or above",1011,2063,3074,0,0,35611,0,0,1196,2315,3511,"1185","2204","3389",0,"Public, 4-year or above","Public, 4-year or above","1191","2224","3415","0",0,0,"Public, 4-year or above",1063,1978,3041,0,0,0
"Auburn University Main Campus","Public, 4-year or above",12256,11881,24137,0,1,36849,3,1,12590,12012,24602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Birmingham Southern College","Private nonprofit, 4-year or above",676,713,1389,6,1,35254,1,1,775,774,1549,"666","639","1305",1,"Private nonprofit, 4-year or above","Private nonprofit, 4-year or above","655","576","1231","1",3,2,"Private nonprofit, 4-year or above",676,670,1346,3,4,3
"Chattahoochee Valley Community College","Public, 2-year",600,1334,1934,0,0,36869,0,0,618,1284,1902,"611","1086","1697",0,"Public, 2-year","Public, 2-year","643","1087","1730","0",0,0,"Public, 2-year",645,1020,1665,0,0,0
"Concordia College-Selma","Private nonprofit, 4-year or above",277,278,555,0,0,36701,0,0,321,247,568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South University-Montgomery","Private for-profit, 4-year or above",111,423,534,0,0,361161120,0,0,163,498,661,"193","523","716",0,"Private for-profit, 4-year or above","Private for-profit, 4-year or above","191","591","782","0",0,0,"Private for-profit, 4-year or above",147,434,581,0,0,0
"Enterprise-Ozark Community College","Public, 2-year",1161,1028,2189,0,0,363301300,0,0,1701,1132,2833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"James H Faulkner State Community College","Public, 2-year",1284,2328,3612,0,0,365072698,0,0,1575,2780,4355,"1615","2800","4415",0,"Public, 2-year","Public, 2-year","1640","2760","4400","0",0,1,"Public, 2-year",1761,2819,4580,0,0,0
