"INSTNM","sector_desc","RAPE13","RAPE5","RAPE6","RAPE7","RAPE8","RAPE9","RAPE10","RAPE11","RAPE12","RAPE14","RAPE15"
"4-States Academy of Cosmetology","not Dertermined yet",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"4-States Academy of Cosmetology","Private for-profit, less-than 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"4-States Okmulgee Academy of Cosmetology","Private for-profit, less-than 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"A Cut Above Beauty College","Private for-profit, less-than 2-year",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"A T Still University of Health Sciences","Private nonprofit, 4-year or above",0,0,0,0,0,0,0,0,0,0,0
"A.B.I. School of Barbering & Cosmetology of Chelsea Inc.","Private for-profit, less-than 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"A.B.I. School of Barbering & Cosmetology of Tribeca Inc.","Private for-profit, less-than 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Aaniiih Nakoda College","Public, 2-year",0,NA,NA,NA,NA,NA,0,0,0,0,0
"Aaron's Academy of Beauty","Private for-profit, less-than 2-year",0,0,0,0,0,0,0,0,0,0,0
"ABC Beauty Academy","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"ABC Beauty College Inc","Private for-profit, less-than 2-year",NA,NA,NA,NA,NA,0,0,0,0,NA,NA
"Abcott Institute","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Abdill Career College Inc","Private for-profit, less-than 2-year",0,0,0,0,0,NA,NA,NA,NA,0,0
"Abilene Christian University","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,2,1
"Abington Memorial Hospital Dixon School of Nursing","Private nonprofit, 2-year",0,0,1,0,0,NA,NA,NA,NA,0,0
"Abraham Baldwin Agricultural College","Public, 2-year",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Abraham Baldwin Agricultural College","Public, 4-year or above",0,NA,NA,0,0,0,0,0,0,0,0
"Abram Friedman Occupational Center","Public, less-than 2-year",NA,NA,NA,0,0,0,NA,NA,NA,NA,NA
"Academia Serrant Inc","Private for-profit, less-than 2-year",0,NA,NA,0,0,NA,NA,NA,NA,0,0
"Academy at Austin","Private for-profit, less-than 2-year",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
"Academy College","Private for-profit, 4-year or above",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Academy Di Capelli-School of Cosmetology","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Academy for Careers and Technology","Public, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Academy for Five Element Acupuncture","Private nonprofit, 4-year or above",0,NA,NA,0,0,NA,NA,NA,NA,0,0
"Academy for Jewish Religion-California","Private nonprofit, 4-year or above",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Academy for Nursing and Health Occupations","Private nonprofit, 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Academy for Practical Nursing & Health Occupations","Private nonprofit, less-than 2-year",NA,0,0,0,0,NA,NA,NA,NA,NA,NA
"Academy for Salon Professionals","Private for-profit, less-than 2-year",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Academy of Art University","Private for-profit, 4-year or above",4,0,0,4,4,2,5,1,0,3,0
