"UNITID_P","INSTNM","BRANCH","Address","City","State","Zip","sector_cd","sector_desc","men_total","women_total","total","MURD5","NEG_M5","FORCIB5","NONFOR5","ROBBE5","AGG_A5","BURGLA5","VEHIC5","ARSON5","MURD6","NEG_M6","FORCIB6","NONFOR6","ROBBE6","AGG_A6","BURGLA6","VEHIC6","ARSON6","MURD7","NEG_M7","FORCIB7","NONFOR7","ROBBE7","AGG_A7","BURGLA7","VEHIC7","ARSON7","FILTER05","FILTER06","FILTER07"
10065401,"Alabama A & M University","Main Campus","4107 MERIDIAN ST","NORMAL","AL",35762,1,"Public, 4-year or above",2505,3201,5706,0,0,4,0,5,13,77,5,3,0,0,1,0,2,3,65,3,1,0,0,0,0,11,2,60,0,1,1,1,1
10066301,"University of Alabama at Birmingham","Main Campus","ADMINISTRATION BLDG SUITE 1070, 701 20th Street So","BIRMINGHAM","AL",352940110,1,"Public, 4-year or above",6480,9766,16246,0,0,1,0,5,0,11,8,0,0,0,1,0,6,0,6,13,0,0,0,0,0,3,3,2,9,1,1,1,1
10069001,"Amridge University","Main Campus","1200 TAYLOR RD","MONTGOMERY","AL",361173553,2,"Private nonprofit, 4-year or above",344,376,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10070601,"University of Alabama in Huntsville","Main Campus","301 SPARKMAN DR","HUNTSVILLE","AL",35899,1,"Public, 4-year or above",3900,3364,7264,0,0,0,0,0,1,5,2,2,0,0,2,0,0,0,11,0,1,0,0,5,1,0,0,12,0,0,1,1,1
10072401,"Alabama State University","Main Campus","915 SOUTH JACKSON ST","MONTGOMERY","AL",36104,1,"Public, 4-year or above",NA,NA,NA,0,0,0,0,11,0,13,7,1,0,0,0,0,4,0,7,3,1,0,0,2,0,8,3,13,2,5,1,1,1
10075101,"The University of Alabama","Main Campus","946 University Blvd","TUSCALOOSA","AL",354870180,1,"Public, 4-year or above",11824,13720,25544,0,0,6,0,1,4,111,4,1,0,0,3,0,5,4,89,4,3,0,1,2,0,2,0,151,3,2,1,1,1
10076001,"Central Alabama Community College","Alexander City Campus","1675 CHEROKEE RD","ALEXANDER CITY","AL",350110699,4,"Public, 2-year",721,1456,2177,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,1,1
10076002,"Central Alabama Community College","Childersburg Campus","34091 Highway 280","Childersburg","AL",35044,4,"Public, 2-year",721,1456,2177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10081201,"Athens State University","Athens State University Main Campus","300 N BEATY ST","ATHENS","AL",35611,1,"Public, 4-year or above",1011,2063,3074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
10083001,"Auburn University-Montgomery","Auburn University Montgomery","7400 EAST DRIVE","MONTGOMERY","AL",361173596,1,"Public, 4-year or above",NA,NA,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,1,0,15,6,0,1,1,1
10085801,"Auburn University Main Campus","Main Campus","107 Samford Hall","AUBURN UNIVERSITY","AL",36849,1,"Public, 4-year or above",12256,11881,24137,0,0,0,0,3,7,57,2,0,0,0,1,0,1,0,51,8,0,0,0,3,0,0,1,42,6,0,1,1,1
10093701,"Birmingham Southern College","Birmingham-Southern College","900 Arkadelphia Road","Birmingham","AL",35254,2,"Private nonprofit, 4-year or above",676,713,1389,0,0,6,0,1,4,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1
10102801,"Chattahoochee Valley Community College","Main Campus","2602 COLLEGE DR","PHENIX CITY","AL",36869,4,"Public, 2-year",600,1334,1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10107301,"Concordia College-Selma","Main Campus","1804 GREEN ST","SELMA","AL",36701,2,"Private nonprofit, 4-year or above",277,278,555,0,0,0,0,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,1,1,1
10111601,"South University-Montgomery","Main Campus","5355 Vaughn Road","MONTGOMERY","AL",361161120,3,"Private for-profit, 4-year or above",111,423,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10114301,"Enterprise-Ozark Community College","Main Campus","600 PLAZA DR","ENTERPRISE","AL",363301300,4,"Public, 2-year",1161,1028,2189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10116101,"James H Faulkner State Community College","Main Campus","1900 US HWY 31 S","Bay Minette","AL",365072698,4,"Public, 2-year",1284,2328,3612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10118901,"Faulkner University","Main Campus","5345 ATLANTA HWY","MONTGOMERY","AL",361093378,2,"Private nonprofit, 4-year or above",830,1030,1860,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,1,1,1
10118902,"Faulkner University","FAULKNER UNIVERSITY-BIRMINGHAM","2200 RIVERCHASE CENTER","BIRMINGHAM","AL",352444506,2,"Private nonprofit, 4-year or above",830,1030,1860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10118903,"Faulkner University","FAULKNER UNIVERSITY-HUNTSVILLE","420 WYNN DR","HUNTSVILLE","AL",358051963,2,"Private nonprofit, 4-year or above",830,1030,1860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10118904,"Faulkner University","FAULKNER UNIVERSITY-MOBILE","3943 Airport Boulevard","MOBILE","AL",366084112,2,"Private nonprofit, 4-year or above",830,1030,1860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10123101,"Gadsden Business College","Main Campus","3225 Rainbow Drive, Suite 246","Rainbow City","AL",35906,9,"Private for-profit, less-than 2-year",NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
10123102,"Gadsden Business College","Anniston Branch Campus","1805 Hillyer Robinson Industrial Parkway, Suite B","Anniston","AL",36207,9,"Private for-profit, less-than 2-year",NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
10124001,"Gadsden State Community College","Gadsden State Community College","1001 GEORGE WALLACE DR","GADSDEN","AL",359020227,4,"Public, 2-year",2128,3386,5514,0,0,0,0,0,1,9,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,1,0,0,0,0,1,1,1
10128601,"George C Wallace Community College-Dothan","Wallace Campus","1141 Wallace Drive","DOTHAN","AL",363039234,4,"Public, 2-year",1238,2469,3707,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10128602,"George C Wallace Community College-Dothan","Ft. Rucker Center","Building 4502 Kingsman Street","Fort Rucker","AL",36362,4,"Public, 2-year",1238,2469,3707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10128604,"George C Wallace Community College-Dothan","Sparks Campus","3235 South Eufaula Ave.","Eufaula","AL",36027,4,"Public, 2-year",1238,2469,3707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10129501,"George C Wallace State Community College-Hanceville","Main Campus","801 MAIN ST NW","HANCEVILLE","AL",350772000,4,"Public, 2-year",1856,3391,5247,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,1,1,1
10130101,"George C Wallace State Community College-Selma","Main Campus","3000 EARL GOODWIN PARKWAY","SELMA","AL",367032808,4,"Public, 2-year",533,1248,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10136501,"Herzing College","Main Campus","280 WEST VALLEY AVENUE","BIRMINGHAM","AL",35209,3,"Private for-profit, 4-year or above",113,258,371,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10143501,"Huntingdon College","Main Campus","1500 East Fairview Avenue","Montgomery","AL",361062148,2,"Private nonprofit, 4-year or above",489,465,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
10145301,"Heritage Christian University","Main Campus","3625 HELTON DR","FLORENCE","AL",35630,2,"Private nonprofit, 4-year or above",78,12,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10146201,"J F Drake State Technical College","Main Campus","3421 MERIDIAN ST N","HUNTSVILLE","AL",358111544,4,"Public, 2-year",341,353,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1
10148001,"Jacksonville State University","Main Campus","700 Pelham Road North","Jacksonville","AL",36265,1,"Public, 4-year or above",3677,5400,9077,0,0,0,0,0,1,13,3,0,0,0,0,0,2,0,34,4,0,0,0,0,0,1,2,34,2,1,1,1,1
10149901,"Jefferson Davis Community College","Main Campus","220 ALCO DR","BREWTON","AL",36426,4,"Public, 2-year",573,684,1257,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,1,1
10150501,"Jefferson State Community College","Jefferson","2601 CARSON RD","BIRMINGHAM","AL",352153098,4,"Public, 2-year",3077,4867,7944,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
10151401,"John C Calhoun State Community College","Main Campus","HWY 31 N","DECATUR","AL",356092216,4,"Public, 2-year",3925,5198,9123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,1,1,1
10154101,"Judson College","Main Campus","302 BIBB ST","MARION","AL",36756,2,"Private nonprofit, 4-year or above",11,300,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
10156901,"Lawson State Community College-Birmingham Campus","Lawson State Community College","3060 WILSON RD SW","BIRMINGHAM","AL",352211717,4,"Public, 2-year",1195,2125,3320,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,1,1
10156902,"Lawson State Community College-Birmingham Campus","Bessemer Campus","1100 9th Ave","Bessemer","AL",35022,4,"Public, 2-year",1195,2125,3320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10158701,"University of West Alabama","Main Campus","STATION ONE","LIVINGSTON","AL",35470,1,"Public, 4-year or above",1100,2911,4011,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,1,1
10160201,"Lurleen B Wallace Community College","Main Campus","1000 Dannelly Blvd.","ANDALUSIA","AL",364201418,4,"Public, 2-year",558,1034,1592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10160202,"Lurleen B Wallace Community College","Lurleen B. Wallace Community College-MacArthur Cam","1708 N. Main Street","Opp","AL",36467,4,"Public, 2-year",558,1034,1592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10160203,"Lurleen B Wallace Community College","Lurleen B. Wallace Community College-Greenville Ca","750 Greenville Bypass","Greenville","AL",36037,4,"Public, 2-year",558,1034,1592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10164801,"Marion Military Institute","Main Campus","1101 Washington St.","Marion","AL",36756,5,"Private nonprofit, 2-year",312,85,397,0,0,0,0,0,5,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1
10167501,"Miles College","Main Campus","5500 MYRON MASSEY BLVD","FAIRFIELD","AL",35064,2,"Private nonprofit, 4-year or above",537,673,1210,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,10,0,4,0,0,1,1,1
10169301,"University of Mobile","University of Mobile","5735 College Parkway","MOBILE","AL",366132842,2,"Private nonprofit, 4-year or above",503,1038,1541,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,2,0,0,1,1,1
10170901,"University of Montevallo","University of Montevallo","STATION 6001","MONTEVALLO","AL",35115,1,"Public, 4-year or above",917,2032,2949,0,0,2,0,0,3,13,0,1,0,0,1,0,0,1,18,0,1,0,0,0,0,0,1,14,0,1,1,1,1
10173601,"Northwest Shoals Community College-Muscle Shoals","Main Campus","800 GEORGE WALLACE BLVD","MUSCLE SHOALS","AL",35661,4,"Public, 2-year",1461,2217,3678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10173602,"Northwest Shoals Community College-Muscle Shoals","Phil Campbell Campus","2080 College Road","Phil Campbell","AL",35581,4,"Public, 2-year",1461,2217,3678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10187901,"University of North Alabama","Main Campus","1 Harrison Plaza- UNA Box 5067","FLORENCE","AL",356320001,1,"Public, 4-year or above",2064,2599,4663,0,0,1,0,0,1,18,0,0,0,0,0,0,1,0,35,2,0,0,0,3,0,1,0,31,0,2,1,1,1
10187902,"University of North Alabama","East Campus","1640 tune av.","florence","AL",35630,1,"Public, 4-year or above",2064,2599,4663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10189701,"Northeast Alabama Community College","Northeast Alabama Community College","P.O. Box 159  / 138 Alabama Hwy 35","Rainsville","AL",35986,4,"Public, 2-year",872,1641,2513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10191201,"Oakwood College","Main Campus","7000 ADVENTIST BLVD NW","HUNTSVILLE","AL",358960003,2,"Private nonprofit, 4-year or above",766,1058,1824,0,0,0,0,0,1,22,2,0,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0,19,0,0,1,1,1
10194901,"Alabama Southern Community College","Main Campus","P.O. Box 2000","MONROEVILLE","AL",364612000,4,"Public, 2-year",417,825,1242,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,1,1,1
10194902,"Alabama Southern Community College","THOMASVILLE CAMPUS","30755 Hwy 43 South","Thomasville","AL",367842000,4,"Public, 2-year",417,825,1242,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,1
10194903,"Alabama Southern Community College","GILBERTOWN CAMPUS","251 College Street","Gilbertown","AL",36908,4,"Public, 2-year",417,825,1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10194904,"Alabama Southern Community College","JACKSON CAMPUS","235 College Avenue","Jackson","AL",36545,4,"Public, 2-year",417,825,1242,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10194905,"Alabama Southern Community College","Demopolis Campus","186 Field of Dreams Drive","Demopolis","AL",36732,4,"Public, 2-year",417,825,1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10195801,"Prince Institute of Professional Studies Inc","Main Campus","7735 ATLANTA HWY","MONTGOMERY","AL",361174231,6,"Private for-profit, 2-year",6,53,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
