"zip","TOTAL10","TOTAL11","TOTAL5","TOTAL7","TOTAL12","TOTAL9","TOTAL6","TOTAL13","TOTAL8","TOTAL15","TOTAL14","RAPE5","RAPE6","RAPE7","RAPE8","RAPE9","RAPE10","RAPE11","RAPE12","RAPE15","RAPE14","RAPE13","latitude","longitude","state","sector_desc.x","INSTNM","primary_city","county"
602,NA,NA,152,422,NA,NA,152,NA,422,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,18.38,-67.18,"PR","Private for-profit, less-than 2-year","Emmas Beauty Academy","Aguada","Aguada Municipio"
602,NA,NA,NA,74,NA,NA,NA,NA,74,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,18.38,-67.18,"PR",NA,"Colegio Tecnico de Electricidad Galloza","Aguada","Aguada Municipio"
602,NA,NA,NA,NA,NA,NA,NA,26,NA,26,26,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.38,-67.18,"PR",NA,"Rosslyn Training Academy of Cosmetology","Aguada","Aguada Municipio"
603,NA,NA,14,1818,NA,NA,14,374,1818,374,374,0,0,0,0,NA,NA,NA,NA,0,0,0,18.43,-67.15,"PR","Private nonprofit, 2-year","Universal Technology College of Puerto Rico","Aguadilla","Aguadilla Municipio"
603,NA,NA,173,206,NA,NA,173,65,206,65,65,0,0,0,0,NA,NA,NA,NA,0,0,0,18.43,-67.15,"PR","Private for-profit, less-than 2-year","Charlie's Guard-Detective Bureau and Academy Inc","Aguadilla","Aguadilla Municipio"
603,NA,NA,42,26,NA,NA,42,NA,26,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,18.43,-67.15,"PR","Private for-profit, less-than 2-year","Aguadilla Technical College","Aguadilla","Aguadilla Municipio"
603,NA,NA,174,226,NA,NA,174,NA,226,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,18.43,-67.15,"PR","Private for-profit, less-than 2-year","Instituto de Educacion Tecnica Ocupacional La Reine","Aguadilla","Aguadilla Municipio"
603,NA,NA,NA,NA,NA,NA,NA,13719,NA,13719,13719,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.43,-67.15,"PR",NA,"Instituto de Banca y Comercio Inc","Aguadilla","Aguadilla Municipio"
603,NA,NA,NA,NA,NA,NA,NA,112,NA,112,112,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.43,-67.15,"PR",NA,"Xtreme Career Institute","Aguadilla","Aguadilla Municipio"
605,NA,NA,4262,4502,NA,NA,4262,4581,4502,4581,4581,0,0,0,0,NA,NA,NA,NA,0,0,0,18.43,-67.15,"PR","Private nonprofit, 4-year or above","Inter American University of Puerto Rico-Aguadilla","Aguadilla",""
605,NA,NA,253,265,NA,NA,253,NA,265,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,18.43,-67.15,"PR","Private for-profit, less-than 2-year","Automeca Technical College","Aguadilla",""
605,NA,NA,NA,12622,NA,NA,NA,13919,12622,13919,13919,NA,NA,0,0,NA,NA,NA,NA,0,0,0,18.43,-67.15,"PR",NA,"Universidad Metropolitana","Aguadilla",""
605,NA,NA,NA,NA,NA,NA,NA,235,NA,235,235,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,18.43,-67.15,"PR",NA,"Automeca Technical College-Aguadilla","Aguadilla",""
612,NA,NA,56,65,NA,NA,56,NA,65,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,18.45,-66.73,"PR","Private for-profit, less-than 2-year","Modern Hairstyling Institute","Arecibo","Arecibo Municipio"
612,NA,NA,1617,1763,NA,NA,1617,NA,1763,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,18.45,-66.73,"PR","Private for-profit, 4-year or above","National College of Business and Technology-Arecibo","Arecibo","Arecibo Municipio"
